Date,Open,Close,Return Close day vs Close previous day
"Jul 27, 2023","4,598.26","4,537.41",-0.64%
"Jul 26, 2023","4,558.96","4,566.75",-0.02%
"Jul 25, 2023","4,555.19","4,567.46",0.28%
"Jul 24, 2023","4,543.39","4,554.64",0.40%
"Jul 21, 2023","4,550.16","4,536.34",0.03%
"Jul 20, 2023","4,554.38","4,534.87",-0.68%
"Jul 19, 2023","4,563.87","4,565.72",0.24%
"Jul 18, 2023","4,521.78","4,554.98",0.71%
"Jul 17, 2023","4,508.86","4,522.79",0.39%
"Jul 14, 2023","4,514.61","4,505.42",-0.10%
"Jul 13, 2023","4,491.50","4,510.04",0.85%
"Jul 12, 2023","4,467.69","4,472.16",0.74%
"Jul 11, 2023","4,415.55","4,439.26",0.67%
"Jul 10, 2023","4,394.23","4,409.53",0.24%
"Jul 07, 2023","4,404.54","4,398.95",-0.29%
"Jul 06, 2023","4,422.62","4,411.59",-0.79%
"Jul 05, 2023","4,442.04","4,446.82",-0.20%
"Jul 03, 2023","4,450.48","4,455.59",0.12%
"Jun 30, 2023","4,422.44","4,450.38",1.23%
"Jun 29, 2023","4,374.94","4,396.44",0.45%
"Jun 28, 2023","4,367.48","4,376.86",-0.04%
"Jun 27, 2023","4,337.36","4,378.41",1.15%
"Jun 26, 2023","4,344.84","4,328.82",-0.45%
"Jun 23, 2023","4,354.17","4,348.33",-0.77%
"Jun 22, 2023","4,355.40","4,381.89",0.37%
"Jun 21, 2023","4,380.01","4,365.69",-0.52%
"Jun 20, 2023","4,396.11","4,388.71",-0.47%
"Jun 16, 2023","4,440.95","4,409.59",-0.37%
"Jun 15, 2023","4,365.33","4,425.84",1.22%
"Jun 14, 2023","4,366.29","4,372.59",0.08%
"Jun 13, 2023","4,352.61","4,369.01",0.69%
"Jun 12, 2023","4,308.32","4,338.93",0.93%
"Jun 09, 2023","4,304.88","4,298.86",0.11%
"Jun 08, 2023","4,268.69","4,293.93",0.62%
"Jun 07, 2023","4,285.47","4,267.52",-0.38%
"Jun 06, 2023","4,271.34","4,283.85",0.24%
"Jun 05, 2023","4,282.99","4,273.79",-0.20%
"Jun 02, 2023","4,241.01","4,282.37",1.45%
"Jun 01, 2023","4,183.03","4,221.02",0.99%
"May 31, 2023","4,190.74","4,179.83",-0.61%
"May 30, 2023","4,226.71","4,205.52",0.00%
"May 26, 2023","4,156.16","4,205.45",1.30%
"May 25, 2023","4,155.71","4,151.28",0.88%
"May 24, 2023","4,132.96","4,115.24",-0.73%
"May 23, 2023","4,176.80","4,145.58",-1.12%
"May 22, 2023","4,190.78","4,192.63",0.02%
"May 19, 2023","4,204.15","4,191.98",-0.14%
"May 18, 2023","4,157.68","4,198.05",0.94%
"May 17, 2023","4,122.85","4,158.77",1.19%
"May 16, 2023","4,127.95","4,109.90",-0.64%
